Name of Detention Center,Address,Lat,Long,Type of facility,Name of Operator,Zip Code,County,State,County Population,Confirmed COVID Cases in County,Confirmed COVID Deaths in County,Cases per 1000 people in County,Deaths per 1000 people in County,Total Capacity,Average Daily Population (all inmates/detainees),Number current ICE detainees,Number current non-ICE detainees,Tests Y/N,News Article,Link,3-Apr-2020,4-Apr-2020,7-Apr-2020,8-Apr-2020,9-Apr-2020,10-Apr-2020,13-Apr-2020,14-Apr-2020,15--Apr-2020,16-Apr-2020,17-Apr-2020,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,1-May-2020,2-May-2020,3-May-2020,4-May-2020,5-May-2020,6-May-2020,7-May-2020,8-May-2020,USMS positive detainees (non-ICE),Employee COVID Cases,Confirmed COVID cases (staff + ICE + non-ICE),Deaths,,,,,,,,,,,,,,,,,,,,,,
Buffalo Federal Detention Facility,"4250 Federal Dr, Batavia, NY 14020",43.020834,-78.202812,SPC,"Akima Global Services, LLC",14020,Genesee,New York,59454,153,2,2.57,0.03,650,320 current,427 average,0,,"Cases at the detention center make up about just more than a third of all cases in Genesee County. The number of cases at the detention center was first listed by Genesee and Orleans Health Departments this past weekend.
The center already has released about half of its population. The center has 650 beds but now has about 320 detainees.
“Being detained here, we are like the proverbial lamb waiting to be slaughtered,” said the letter, which was sent to Justice for Migrant Families WNY. “None of the Security, Food Service, Medical, Maintenance or Janitorial Staff are prohibited from leaving at the end of their shifts. They go home, go out, go shopping, all normal activities. However, they are the only ones who would introduce this dread killer into our midst.” HUNGER STRIKES



","https://www.newsweek.com/federal-judge-orders-california-ice-detention-center-release-detainees-coronavirus-cases-climb-1500095, https://www.thedailynewsonline.com/top_story/cases-surge-at-buffalo-federal-detention-facility/article_e1f7dce2-3434-53c7-8a96-71859090ea0e.html",,,,,4,7,7,8,11,12,13,45,46,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,,49,,,,,,,,,,,,,,,,,,,,,,,
Burnet County Jail,"900 County Ln, Burnet, TX 78611",30.740505,-98.253253,IGSA,County Sheriff Department,78611,Burnet,Texas,43823,19,0,0.43,0.00,560,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(couldn't find),,,,,,,,,,,,,,,,,,,,,,,
Butler County Correctional Complex,"705 Hanover St, Hamilton, OH 45011",39.38986387,-84.55667554,IGSA,County Sheriff Department,45011,Butler,Ohio,371272,281,7,0.76,0.02,848,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County Correctional Center,"185 E Michigan Ave, Battle Creek, MI 49014",42.3166739,-85.1758915,IGSA,County Sheriff Department,49014,Calhoun,Michigan,135012,228,13,1.69,0.10,630,521,140,,,ACLU sues ICE to release medically frail detainees in Calhoun Co. jail,https://www.michiganadvance.com/2020/04/27/aclu-sues-ice-to-release-medically-frail-detainees-in-calhoun-co-jail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Caroline Detention Facility,"11093 SW Lewis Memorial Dr, Fort A.P. Hill, VA 22427",38.110836,-77.265616,IGSA,County,22427,Caroline,Virginia,29298,27,1,0.92,0.03,336,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver County Jail Services,"606 E 4th St, Chaska, MN 55318",44.78857282,-93.59393292,IGSA,County Sheriff Department,55318,Carver,Minnesota,95562,21,0,0.22,0.00,111,111,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(couldn't find),,,,,,,,,,,,,,,,,,,,,,,
Cass County Jail Services,"303 Ave A, Plattsmouth, NE 68048",41.01212165,-95.88363198,USMS IGA,County Sheriff Department,68048,Cass,Nebraska,25357,5,0,0.20,0.00,110,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Catahoula Correctional Center,"499 Old Columbia Rd, Harrisonburg, LA 71340",31.776393,-91.837183,,Lasalle Corrections,71340,Catahoula,Louisiana,"10,238",NOT FOUND,NOT FOUND,#VALUE!,#VALUE!,835,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,7,7,7,7,7,7,9,9,9,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Arizona Correctional Center,"1155 N Pinal Pkwy Ave, Florence, AZ 85132",33.0643662,-111.378808,,"GEO Group, Inc.",85132,Pinal,Arizona,389350,397,11,1.02,0.03,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Chautauqua County Jail,"15 E Chautauqua St, Mayville, NY 14757",42.25517408,-79.50343008,IGSA,County Sheriff Department,14757,Chautauqua,New York,133080,33,1,0.25,0.01,,260 avg/115 current,2,,,Only 2 ICE detainees historically,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Clay County Jail,"611 East Jackson Street, Brazil, IN, 47834",39.52395109,-87.11959172,USMS IGA,County Sheriff Department,47834,Clay,Indiana,26803,20,1,0.75,0.04,250,221//average 250,46,,,"According to jail tracker, still regularly booking new people. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County Correctional Facility,"58 Pine Mountain Rd, McElhattan, PA 17748",41.15111825,-77.34936627,USMS IGA,County Corrections Office,17748,Clinton,Pennsylvania,39954,31,0,0.78,0.00,50,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County Jail,"25 McCarthy Dr, Plattsburgh, NY 12901",44.71959274,-73.46803505,USMS IGA,County Sheriff Department,12901,Clinton,New York,81591,59,4,0.72,0.05,13,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
David L. Moss Criminal Justice Center,"300 N Denver Ave, Tulsa, OK 74103",36.1572816,-95.99901266,IGSA,County sheriff Department,74103,Tulsa,Oklahoma,622409,567,33,0.91,0.05,2020,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaney Hall Detention Facility,"451 Doremus Ave, Newark, NJ 07105",40.717437,-74.127789,IGSA,,"""07105",Essex,New Jersey,789565,13682,1186,17.33,1.50,1022,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Dodge Detention Facility,"216 W Center St, Juneau, WI 53039",43.40806479,-88.70662112,USMS IGA,County Sheriff Department,53039,Dodge,Wisconsin,88344,33,1,0.37,0.01,265,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County Department of Corrections,"710 S 17th St, Omaha, NE 68102",41.25342545,-95.93899616,IGSA,,68102,Douglas,Nebraska,537256,670,16,1.25,0.03,1449,1251,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hidalgo Detention Center,"1300 TX-107, La Villa, TX 78562",26.2964287,-97.91802387,USMS IGA,,78562,Hidalgo,Texas,815996,334,6,0.41,0.01,1300,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Eden Detention Center,"702 E Broadway St, Eden, TX 76837",31.2175083,-99.83395987,BOP,Bureau of Prisons,76837,Concho,Texas,4043,1,0,0.25,0.00,1438,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso County Criminal Justice Center,"2739 E Las Vegas St, Colorado Springs, CO 80906",38.78879535,-104.7769623,IGSA,,80906,El Paso,Colorado,655044,934,70,1.43,0.11,1000,1500 // 1087 for covid,0,,,"3 sheriff deputies who worked at jail tested positive, including one death. 8 inmates in isolation because of flu-like symtoms as of April 3. In statement to inmate families, Sheriff's Office wrote: we know it is likely a number of inmates and staff will become infected."" 41-year old Deputy Jeff Hopkins died from the virus. Some wards have individual cells, others have bays with each beds each. Has 100 tests. Jail's normal population is 1,500 but was reduced to 1,087 due to COVID-19. ","https://www.csindy.com/TheWire/archives/2020/04/06/riot-threatened-at-el-paso-county-jail-to-virus-restrictions, https://gazette.com/news/3-deputies-at-el-paso-county-jail-have-tested-positive-for-covid-19-virus-likely/article_409db30c-75bf-11ea-a37c-334d20e5bf37.html, https://gazette.com/news/state-public-defender-inmate-advocates-seek-unified-covid-19-strategy-in-jails-and-courts/article_3e2b04cc-7604-11ea-8b5f-4f1f40715f18.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
El Paso Processing Center,"8915 Montana Ave, El Paso, TX 79925",31.79644735,-106.3696513,SPC,GPS-ASSET,79925,El Paso,Texas,827718,924,21,1.12,0.03,840,832,770,,,7 confirmed cases (4/27/2020) 5 confirmed cases (4/21/2020),,,,,,,,,,,,,4,5,5,5,5,7,7,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
El Valle Detention Facility,"1800 Industrial Drive, Raymondville, TX, 78580",26.467306,-97.765825,IGSA,Management & Training Corporation,78580,Willacy,Texas,21921,13,1,0.59,0.05,1000,,797,,,"""El Valle Detention Facility was previously called the Willacy County Correctional Center. ICE signed a contract with MTC in 2006, but then pulled out in 2011 because of poor conditions including widespread sexual abuse.x From 2011 until early 2015, the Bureau of Prisons used the facility for immigrants in its custody. Then, in February of 2015, a riot precipitated by uninhabitable conditions destroyed much of the facility, which was made up of 10 Kevlar tent-like domes.xi Shortly thereafter, BOP also pulled out of the facility citing poor management and abusive conditions. The decision to give MTC a third chance at the troubled facility is highly controversial. Even Michael Watkins, a former ICE deputy field-office director, said that “there are lines I don't think we should cross” and that if Willacy reopens, 'that’s a line that we’re crossing.'""",https://immigrantjustice.org/sites/default/files/uploaded-files/no-content-type/2018-09/ICE_Facilities_Matrix_Memo_2018-09-05_1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Contract Detention Facility,"625 Evans St, Elizabeth, NJ 07201",40.66615695,-74.18969352,CDF,CoreCivic,7201,Union,New Jersey,548256,12578,690,22.94,1.26,300,228,,,,"13 confirmed cases (4/21/20)
HRF is currently representing clients in this detention facility
Privately operated. At the nearby privately operated Elizabeth Detention Center⁠, inmates complained of not having even hand sanitizer in their close quarters, and that guards were not using masks or gloves. One medical worker there had a positive test last week.",https://www.forbes.com/sites/judystone/2020/03/24/immigrant-detainees-are-sitting-on-a-covid-19-time-bombfirst-infection-reported/#1b93498e3af2,,,,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,17,17,17,18,18,18,18,18,,2,N/A,,,,,,,,,,,,,,,,,,,,,,,
Eloy Detention Center,"1705 E Hanna Rd, Eloy, AZ 85131",32.8176772,-111.51927,IGSA,CoreCivic,85131,Pinal,Arizona,389350,397,11,1.02,0.03,1596,1450,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex County Correctional Facility,"354 Doremus Ave, Newark, NJ 07105",40.7145487,-74.1293967,IGSA,County Correctional Office,7105,Essex,New Jersey,789565,13682,1186,17.33,1.50,2300,1800,566,1183,,"Most recent news from 25 days ago. Cases doubled overnight from 4/8 to 4/9. ALL detainees to receive antibody test; ICE orders Essex County to stop reporting detainee release info and test results; 78 inmates and detainees are under quarantine due to direct exposure to virus. ""“It’s just a human petri dish,” said inmate Daniel Mahoney"" ","https://gothamist.com/news/ice-quietly-releases-hundreds-local-immigrants-covid-19, https://www.tapinto.net/towns/newark/sections/law-and-justice/articles/ice-orders-essex-county-to-stop-reporting-detainee-release-information-test-results, https://www.northjersey.com/story/news/coronavirus/2020/04/04/nj-coronavirus-78-inmates-essex-county-jail-quarantine/2947500001/, https://hudsoncountyview.com/jc-together-wants-hudson-county-jail-to-use-same-covid-19-screening-as-essex/, https://www.wbur.org/news/2020/04/09/covid-19-sheriff-essex-county-jail-soars",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,,1,18,,,,,,,,,,,,,,,,,,,,,,,
Etowah County Detention Center,"827 Forrest Ave, Gadsden, AL 35901",34.01612084,-86.01249896,USMS IGA,County Sheriff Department,35901,Etowah,Alabama,103931,139,9,1.34,0.09,350,,297,,N,"ICE continues to send detainees to the Alabama jail, including individuals who have come through facilities with confirmed coronavirus infections. Officials at Etowah consolidated two units into one, doubling the number of men sharing the space overnight. Late March, detainees asked to be screened by a nurse for Covid-19. It was a basic screening, Golding stressed, not a test for the coronavirus. Golding said a nurse told him he was “symptomatic” and provided him with Advil and allergy medication. Several other detainees were told the same — none were placed in quarantine. Also appears to be a lack of supplies like soap. 
BUT this is what ICE says: “There is no one in ICE custody at the Etowah County facility with suspected Covid-19. Rumors to the contrary are false and needlessly spread fear through misinformation.” Detainees now required to wear masks. Persons detained who are held on the county side for short term processing (up to 72 hours) are still being transferred in and out, up to 10 people a week. There's a bus that goes from Etowah to Louisiana (to LaSalle - Pine Prairie and Adams also receivers) and back twice weekly.

",https://theintercept.com/2020/04/12/coronavirus-ice-detention-jail-alabama/,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmville Detention Center,"508 Waterworks Rd, Farmville, VA 23901",37.319501,-78.438276,IGSA,Immigration Centers of America,23901,Prince Edward,Virginia,22802,49,2,2.15,0.09,851,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC Sheridan,"SW Ballston Rd, Sheridan, OR 97378",45.085569,-123.396292,BOP,,97378,Yamhill,Oregon,100725,39,7,0.39,0.07,2000,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Bureau of Prisons (BoP) Federal Corrections Institute (FCI) Phoenix,"37900 N 45th Ave, Phoenix, AZ 85086",33.8747071,-112.1562664,BOP,,85086,Maricopa,Arizona,4009412,3972,145,0.99,0.04,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal Detention Center ""SEA-TAC""","2425 S 200th St, Seattle, WA 98198",47.4228107,-122.2679557,BOP,,98198,King,Washington,2044449,6310,448,3.09,0.22,900,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Satellite Low La Tuna,"11636 Old Ironsides Drive Building, El Paso, TX, 79906",31.856916,-106.351132,USMS IGA,CoreCivic,79906,El Paso,Texas,827718,924,21,1.12,0.03,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Florence Correctional Center,"1100 Bowling Rd, Florence, AZ 85132",33.036998,-111.372167,Other,CoreCivic,85132,Pinal,Arizona,389350,397,11,1.02,0.03,1824,,156,,,10 confirmed cases (4/21/20),,,,,,2,3,6,6,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,1,,,,,,,,,,,,,,,,,,,,,,,,
Florence SPC,"3250 N Pinal Pkwy Ave, Florence, AZ 85132",33.06503406,-111.3786852,SPC,Asset Protection Security Services,85132,Pinal,Arizona,389350,397,11,1.02,0.03,450,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folkston Immigration Processing Center (Annex),"3424 Hwy 252 E P.O. Box 248, Folkston, GA, 31537",30.871899,-81.981192,IGSA,GEO Group,31537,Charlton,Georgia,13255,8,0,0.60,0.00,780,,232,,,"“We basically have to hunger strike to get what we need,” says Jose Miranda-Gonzalez, a man detained in Georgia’s Folkston ICE Processing center. -- Soap and cleaning products rationed so detainees have stopped eating to pressure staff to provide more supplies. People who cannot afford it do not have soap to wash hands. GEO Group response: ""We strongly reject these unfounded allegations, which we believe are being instigated by outside groups with political agendas…. Our ICE Processing Centers provide access to regular handwashing with clean water and soap in all housing areas and throughout each facility.” ICE response: “I’m not aware of any hunger strikes related to soap and hygiene products,” Danielle Bennet wrote in an e-mail.
",https://www.thenation.com/article/politics/coronavirus-ice-detention-soap/,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Folkston Immigration Processing Center (DR James),"3026 Hwy 252 E, Folkston, GA, 31537",30.871825,-81.981278,IGSA,GEO Group,31537,Charlton,Georgia,13255,8,0,0.60,0.00,2067,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County House of Correction,"160 Elm St, Greenfield, MA 01301",42.5964024,-72.6124595,USMS IGA,County,1301,Franklin,Massachusetts,71221,257,37,3.61,0.52,144,250,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick County Detention Center,"7300 Marcies Choice Ln, Frederick, MD 21704",39.36509105,-77.41508867,IGSA,County,21704,Frederick,Maryland,241409,918,49,3.80,0.20,533,310,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeborn County Jail Services,"411 S Broadway Ave, Albert Lea, MN 56007",43.6462546,-93.3677806,IGSA,County,56007,Freeborn,Minnesota,30948,34,0,1.10,0.00,122,80,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geauga County Safety Center,"12450 Merritt Rd, Chardon, OH 44024",41.504934,-81.190599,USMS IGA,County Sheriff Department,44024,Geauga,Ohio,93972,154,13,1.64,0.14,182,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glades County Detention Center,"1297 FL-78, Moore Haven, FL 33471",26.839513,-81.125479,IGSA,County Sheriff Department,33471,Glades,Florida,13345,6,1,0.45,0.07,463,407// 410 current numbers,384,,,"U.S. District Judge Marcia Cooke said crowded condiitons exposed inmates to COVID, violating constitutional rights, and forcing jail to depopulate to level of 75% capacity. Social distancing at facility impossible. ICE has failed to provide detainees in facilities with masks, soap, and cleaning supplies.",https://www.npr.org/sections/coronavirus-live-updates/2020/05/01/848681749/federal-judge-orders-ice-to-release-detainees-at-3-florida-facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grady County Law Enforcement Center,"215 N 3rd St, Chickasha, OK 73018",35.05319812,-97.93533515,,,73018,Grady,Oklahoma,53685,36,2,0.67,0.04,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall County Department of Corrections,"110 Public Safety Dr, Grand Island, NE 68801",40.926333,-98.328184,IGSA,County Sheriff Department,68801,Hall,Nebraska,60720,1042,28,17.16,0.46,205,,77,,,176 total detainees,https://www.hallcountyne.gov/links/reports/inmates/current_inmates.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Hardin County Correctional Center,"100 Lawson Blvd, Elizabethtown, KY 42701",37.663423,-85.849279,IGSA,County Sheriff Department,42701,Hardin,Iowa,4181,8,0,1.91,0.00,648,774,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
